[2026-06-08 15:13:09,257] [CROSHealthcareNode] ROSHealthcareNode shutdown.
[2026-06-08 15:13:09,257] MPRobotTask process routine terminated.
[2026-06-08 15:13:09,257] [CControlCore] STATUS | source=MPRobotTask | status=ROBOT_TASK_PROCESS_TERMINATED
[2026-06-08 15:13:09,352] [CMultiProcessBase] Process released: MPRobotTask
[2026-06-08 15:13:09,352] [CControlCore] ControlCore stopped.
[2026-06-08 15:13:09,353] [CMainWindow] MainWindow closed.
[2026-06-08 15:13:09,353] Application terminated.
[2026-06-09 11:44:47,805] Application start.
[2026-06-09 11:44:47,819] [CControlCore] ControlCore initialized.
[2026-06-09 11:44:47,829] [CMainWindow] MainWindow initialized.
[2026-06-09 11:45:31,279] [CMainWindow] MainWindow closed.
[2026-06-09 11:45:31,279] Application terminated.
[2026-06-09 11:48:31,472] Application start.
[2026-06-09 11:48:31,488] [CControlCore] ControlCore initialized.
[2026-06-09 11:48:31,500] [CMainWindow] MainWindow initialized.
[2026-06-09 11:48:59,582] [CMainWindow] MainWindow closed.
[2026-06-09 11:48:59,582] Application terminated.
